Universidade,Link_DGES,Nome,Estado da IES,Unidade Organica,Subsistema,Natureza,Tipo de ensino,Link_Website,Morada,Código Postal,Telefone,Email,Distrito
"Escola Superior de Educação, Comunicação e Desporto - Instituto Politécnico da Guarda",https://www.dges.gov.pt/simges/public/www/detalhes_uo/302,Instituto Politécnico da Guarda,Ativa,"Escola Superior de Educação, Comunicação e Desporto - Instituto Politécnico da Guarda",Público,Sem Natureza,Politécnico,http://www.esecd.ipg.pt,"Av. Dr. Francisco Sá Carneiro, 50, Guarda","6300-559, Guarda
",+351271220135,esecd-geral@ipg.pt,http://www.esecd.ipg.pt
Escola Superior de Saúde da Guarda - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/305,Instituto Politécnico da Guarda,Ativa,Escola Superior de Saúde da Guarda - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.ess.ipg.pt,"Av. Rainha D. Amélia, s/n, Guarda","6300-749, Guarda
",+351271205220,ess.geral@ipg.pt,http://www.ess.ipg.pt
Escola Superior de Tecnologia e Gestão - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/303,Instituto Politécnico da Guarda,Ativa,Escola Superior de Tecnologia e Gestão - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.esth.ipg.pt,"Av. Dr. Francisco Sá Carneiro, 50, Guarda","6300-559, Guarda
",+351271220120,estg-geral@ipg.pt,http://www.esth.ipg.pt
Escola Superior de Turismo e Hotelaria - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/304,Instituto Politécnico da Guarda,Ativa,Escola Superior de Turismo e Hotelaria - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.esth.ipg.pt,"R. Dr. José António Fernandes Camelo - Arrifana, Arrifana","6270-372, Seia
",+351238320800,esth@ipg.pt,http://www.esth.ipg.pt
Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_ies/22,Instituto Politécnico de Beja,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipbeja.pt,"Rua Pedro Soares, S/N. Campus do IPBeja, Beja","7800-295, Beja
",+351284329327,ipb@ipbeja.pt,http://www.ipbeja.pt
Escola Superior Agrária - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/276,Instituto Politécnico de Beja,Ativa,Escola Superior Agrária - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.esab.ipbeja.pt,"R. Pedro Soares, Beja","7800-295, Beja
",+351284314300,esa@esab.ipbeja.pt,http://www.esab.ipbeja.pt
Escola Superior de Educação - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/277,Instituto Politécnico de Beja,Ativa,Escola Superior de Educação - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.eseb.ipbeja.pt,"R. Pedro Soares, Beja","7800-295, Beja
",+351284315001,eseb@eseb.ipbeja.pt,http://www.eseb.ipbeja.pt
Escola Superior de Saúde - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/279,Instituto Politécnico de Beja,Ativa,Escola Superior de Saúde - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.essb.ipbeja.pt,"R. Dr. José Correia Maltez, Beja","7800-111, Beja
",+351284313280,esenfbeja@esenf.ipbeja.pt,http://www.essb.ipbeja.pt
Escola Superior de Tecnologia e de Gestão - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/278,Instituto Politécnico de Beja,Ativa,Escola Superior de Tecnologia e de Gestão - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.estig.ipbeja.pt,"R. Afonso III, 1, Beja","7800-050, Beja
",+351284311540,estig@estig.ipbeja.pt,http://www.estig.ipbeja.pt
Escola Superior Agrária - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/276,Instituto Politécnico de Beja,Ativa,Escola Superior Agrária - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.esab.ipbeja.pt,"R. Pedro Soares, Beja","7800-295, Beja
",+351284314300,esa@esab.ipbeja.pt,http://www.esab.ipbeja.pt
Escola Superior de Educação - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/277,Instituto Politécnico de Beja,Ativa,Escola Superior de Educação - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.eseb.ipbeja.pt,"R. Pedro Soares, Beja","7800-295, Beja
",+351284315001,eseb@eseb.ipbeja.pt,http://www.eseb.ipbeja.pt
Escola Superior de Saúde - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/279,Instituto Politécnico de Beja,Ativa,Escola Superior de Saúde - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.essb.ipbeja.pt,"R. Dr. José Correia Maltez, Beja","7800-111, Beja
",+351284313280,esenfbeja@esenf.ipbeja.pt,http://www.essb.ipbeja.pt
Escola Superior de Tecnologia e de Gestão - Instituto Politécnico de Beja,https://www.dges.gov.pt/simges/public/www/detalhes_uo/278,Instituto Politécnico de Beja,Ativa,Escola Superior de Tecnologia e de Gestão - Instituto Politécnico de Beja,Público,Sem Natureza,Politécnico,http://www.estig.ipbeja.pt,"R. Afonso III, 1, Beja","7800-050, Beja
",+351284311540,estig@estig.ipbeja.pt,http://www.estig.ipbeja.pt
Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_ies/24,Instituto Politécnico de Bragança,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipb.pt,"Campus de Santa Apolónia, Bragança","5300-253, Bragança
",+351273303200,ipb@ipb.pt,http://www.ipb.pt
Escola Superior Agrária de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/285,Instituto Politécnico de Bragança,Ativa,Escola Superior Agrária de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.esa.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273303200,sacd@ipb.pt,http://www.esa.ipb.pt
"Escola Superior de Comunicação, Administração e Turismo de Mirandela - Instituto Politécnico de Bragança",https://www.dges.gov.pt/simges/public/www/detalhes_uo/288,Instituto Politécnico de Bragança,Ativa,"Escola Superior de Comunicação, Administração e Turismo de Mirandela - Instituto Politécnico de Bragança",Público,Sem Natureza,Politécnico,http://www.esact.ipb.pt,"R. João Sarmento Pimentel, Mirandela","5370-326, Mirandela
",+351278201340,esact@ipb.pt,http://www.esact.ipb.pt
Escola Superior de Educação de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/286,Instituto Politécnico de Bragança,Ativa,Escola Superior de Educação de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.ese.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273330600,eseb@ipb.pt,http://www.ese.ipb.pt
Escola Superior de Hotelaria e Bem-Estar - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/389,Instituto Politécnico de Bragança,Ativa,Escola Superior de Hotelaria e Bem-Estar - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,Sem Link_Website,"Rua Dr. Júlio Martins, Nº1, Chaves","5400-342, Chaves
",Sem Telefone,Sem Email,Sem Distrito
Escola Superior de Saúde de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/289,Instituto Politécnico de Bragança,Ativa,Escola Superior de Saúde de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.essa.ipb.pt,"Av. D. Afonso V, Bragança","5300-121, Bragança
",+351273331593,essa@ipb.pt,http://www.essa.ipb.pt
Escola Superior de Tecnologia e de Gestão de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/287,Instituto Politécnico de Bragança,Ativa,Escola Superior de Tecnologia e de Gestão de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.estig.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273303000,gre@ipb.pt,http://www.estig.ipb.pt
Escola Superior Agrária de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/285,Instituto Politécnico de Bragança,Ativa,Escola Superior Agrária de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.esa.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273303200,sacd@ipb.pt,http://www.esa.ipb.pt
"Escola Superior de Comunicação, Administração e Turismo de Mirandela - Instituto Politécnico de Bragança",https://www.dges.gov.pt/simges/public/www/detalhes_uo/288,Instituto Politécnico de Bragança,Ativa,"Escola Superior de Comunicação, Administração e Turismo de Mirandela - Instituto Politécnico de Bragança",Público,Sem Natureza,Politécnico,http://www.esact.ipb.pt,"R. João Sarmento Pimentel, Mirandela","5370-326, Mirandela
",+351278201340,esact@ipb.pt,http://www.esact.ipb.pt
Escola Superior de Educação de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/286,Instituto Politécnico de Bragança,Ativa,Escola Superior de Educação de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.ese.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273330600,eseb@ipb.pt,http://www.ese.ipb.pt
Escola Superior de Hotelaria e Bem-Estar - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/389,Instituto Politécnico de Bragança,Ativa,Escola Superior de Hotelaria e Bem-Estar - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,Sem Link_Website,"Rua Dr. Júlio Martins, Nº1, Chaves","5400-342, Chaves
",Sem Telefone,Sem Email,Sem Distrito
Escola Superior de Saúde de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/289,Instituto Politécnico de Bragança,Ativa,Escola Superior de Saúde de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.essa.ipb.pt,"Av. D. Afonso V, Bragança","5300-121, Bragança
",+351273331593,essa@ipb.pt,http://www.essa.ipb.pt
Escola Superior de Tecnologia e de Gestão de Bragança - Instituto Politécnico de Bragança,https://www.dges.gov.pt/simges/public/www/detalhes_uo/287,Instituto Politécnico de Bragança,Ativa,Escola Superior de Tecnologia e de Gestão de Bragança - Instituto Politécnico de Bragança,Público,Sem Natureza,Politécnico,http://www.estig.ipb.pt,"Campus de St.ª Apolónia, Bragança","5300-253, Bragança
",+351273303000,gre@ipb.pt,http://www.estig.ipb.pt
Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_ies/25,Instituto Politécnico de Castelo Branco,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipcb.pt,"Av. Pedro Álvares Cabral, n.º 12, Castelo Branco","6000-084, Castelo Branco
",+351272339600,ipcb@ipcb.pt,http://www.ipcb.pt
Escola Superior Agrária de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/290,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior Agrária de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esacb/escola-superior-agrária,"Quinta da Senhora de Mércoles - Apartado 119, Castelo Branco","6001-909, Mogadouro
",+351272339900,esa@ipcb.pt,http://www.ipcb.pt/esacb/escola-superior-agrária
Escola Superior de Artes Aplicadas - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/294,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Artes Aplicadas - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esart/escola-superior-de-artes-aplicadas,"Campus da Talagueira - Avenida do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272340800,esart@ipcb.pt,http://www.ipcb.pt/esart/escola-superior-de-artes-aplicadas
Escola Superior de Educação de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/291,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Educação de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esecb/escola-superior-de-educação,"R. Prof. Faria de Vasconcelos, Castelo Branco","6000-266, Castelo Branco
",+351272339100,ese@ipcb.pt,http://www.ipcb.pt/esecb/escola-superior-de-educação
Escola Superior de Gestão de Idanha-a-Nova - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/293,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Gestão de Idanha-a-Nova - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esgin/escola-superior-de-gestao,"Largo do Município, Idanha-A-Nova","6060-163, Idanha-a-Nova
",+351277200220,esg@ipcb.pt,http://www.ipcb.pt/esgin/escola-superior-de-gestao
Escola Superior de Saúde Dr. Lopes Dias - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/295,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Saúde Dr. Lopes Dias - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esald/escola-superior-de-saúde-dr-lopes-dias,"Campus da Talagueira - Avenida do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272340560,esald@ipcb.pt,http://www.ipcb.pt/esald/escola-superior-de-saúde-dr-lopes-dias
Escola Superior de Tecnologia de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/292,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Tecnologia de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/estcb/escola-superior-de-tecnologia,"Av. do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272339300,est@ipcb.pt,http://www.ipcb.pt/estcb/escola-superior-de-tecnologia
Escola Superior Agrária de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/290,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior Agrária de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esacb/escola-superior-agrária,"Quinta da Senhora de Mércoles - Apartado 119, Castelo Branco","6001-909, Mogadouro
",+351272339900,esa@ipcb.pt,http://www.ipcb.pt/esacb/escola-superior-agrária
Escola Superior de Artes Aplicadas - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/294,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Artes Aplicadas - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esart/escola-superior-de-artes-aplicadas,"Campus da Talagueira - Avenida do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272340800,esart@ipcb.pt,http://www.ipcb.pt/esart/escola-superior-de-artes-aplicadas
Escola Superior de Educação de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/291,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Educação de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esecb/escola-superior-de-educação,"R. Prof. Faria de Vasconcelos, Castelo Branco","6000-266, Castelo Branco
",+351272339100,ese@ipcb.pt,http://www.ipcb.pt/esecb/escola-superior-de-educação
Escola Superior de Gestão de Idanha-a-Nova - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/293,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Gestão de Idanha-a-Nova - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esgin/escola-superior-de-gestao,"Largo do Município, Idanha-A-Nova","6060-163, Idanha-a-Nova
",+351277200220,esg@ipcb.pt,http://www.ipcb.pt/esgin/escola-superior-de-gestao
Escola Superior de Saúde Dr. Lopes Dias - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/295,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Saúde Dr. Lopes Dias - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/esald/escola-superior-de-saúde-dr-lopes-dias,"Campus da Talagueira - Avenida do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272340560,esald@ipcb.pt,http://www.ipcb.pt/esald/escola-superior-de-saúde-dr-lopes-dias
Escola Superior de Tecnologia de Castelo Branco - Instituto Politécnico de Castelo Branco,https://www.dges.gov.pt/simges/public/www/detalhes_uo/292,Instituto Politécnico de Castelo Branco,Ativa,Escola Superior de Tecnologia de Castelo Branco - Instituto Politécnico de Castelo Branco,Público,Sem Natureza,Politécnico,http://www.ipcb.pt/estcb/escola-superior-de-tecnologia,"Av. do Empresário, Castelo Branco","6000-767, Castelo Branco
",+351272339300,est@ipcb.pt,http://www.ipcb.pt/estcb/escola-superior-de-tecnologia
Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_ies/26,Instituto Politécnico de Coimbra,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipc.pt,"Rua da Misericórdia, Lagar dos cortiços - S. Martinho do Bispo, Coimbra","3045-093, Coimbra
",+351239791250,ipc@ipc.pt,http://www.ipc.pt
Escola Superior Agrária de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/296,Instituto Politécnico de Coimbra,Ativa,Escola Superior Agrária de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.esac.pt,"Bencanta, Coimbra","3045-601, Coimbra
",+351239802940,gac@mail.esac.pt,http://www.esac.pt
Escola Superior de Educação de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/297,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Educação de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.esec.pt,"Pr. Heróis do Ultramar - Solum, Coimbra","3030-329, Coimbra
",+351239793120,geral@esec.pt,http://www.esec.pt
Escola Superior de Tecnologia da Saúde de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/301,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Tecnologia da Saúde de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.estescoimbra.pt,"R. 5 de Outubro - S. Martinho do Bispo - Apartado 7006, Coimbra","3046-901, Coimbra
",+351239802430,geral@estescoimbra.pt,http://www.estescoimbra.pt
Escola Superior de Tecnologia e Gestão de Oliveira do Hospital - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/300,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Tecnologia e Gestão de Oliveira do Hospital - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.estgoh.ipc.pt,"R. General Santos Costa, Oliveira do Hospital","3400-124, Oliveira do Hospital
",+351238605170,geral@estgoh.ipc.pt,http://www.estgoh.ipc.pt
Instituto Superior de Contabilidade e Administração de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/298,Instituto Politécnico de Coimbra,Ativa,Instituto Superior de Contabilidade e Administração de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.iscac.pt,"Quinta Agrícola - Bencanta, Coimbra","3045-601, Coimbra
",+351239802000,geral@iscac.pt,http://www.iscac.pt
Instituto Superior de Engenharia de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/299,Instituto Politécnico de Coimbra,Ativa,Instituto Superior de Engenharia de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.isec.pt,"R. Pedro Nunes - Quinta da Nora, Coimbra","3030-199, Coimbra
",+351239790200,info@isec.pt,http://www.isec.pt
Escola Superior Agrária de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/296,Instituto Politécnico de Coimbra,Ativa,Escola Superior Agrária de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.esac.pt,"Bencanta, Coimbra","3045-601, Coimbra
",+351239802940,gac@mail.esac.pt,http://www.esac.pt
Escola Superior de Educação de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/297,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Educação de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.esec.pt,"Pr. Heróis do Ultramar - Solum, Coimbra","3030-329, Coimbra
",+351239793120,geral@esec.pt,http://www.esec.pt
Escola Superior de Tecnologia da Saúde de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/301,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Tecnologia da Saúde de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.estescoimbra.pt,"R. 5 de Outubro - S. Martinho do Bispo - Apartado 7006, Coimbra","3046-901, Coimbra
",+351239802430,geral@estescoimbra.pt,http://www.estescoimbra.pt
Escola Superior de Tecnologia e Gestão de Oliveira do Hospital - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/300,Instituto Politécnico de Coimbra,Ativa,Escola Superior de Tecnologia e Gestão de Oliveira do Hospital - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.estgoh.ipc.pt,"R. General Santos Costa, Oliveira do Hospital","3400-124, Oliveira do Hospital
",+351238605170,geral@estgoh.ipc.pt,http://www.estgoh.ipc.pt
Instituto Superior de Contabilidade e Administração de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/298,Instituto Politécnico de Coimbra,Ativa,Instituto Superior de Contabilidade e Administração de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.iscac.pt,"Quinta Agrícola - Bencanta, Coimbra","3045-601, Coimbra
",+351239802000,geral@iscac.pt,http://www.iscac.pt
Instituto Superior de Engenharia de Coimbra - Instituto Politécnico de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_uo/299,Instituto Politécnico de Coimbra,Ativa,Instituto Superior de Engenharia de Coimbra - Instituto Politécnico de Coimbra,Público,Sem Natureza,Politécnico,http://www.isec.pt,"R. Pedro Nunes - Quinta da Nora, Coimbra","3030-199, Coimbra
",+351239790200,info@isec.pt,http://www.isec.pt
Instituto Politécnico de Leiria,https://www.dges.gov.pt/simges/public/www/detalhes_ies/28,Instituto Politécnico de Leiria,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipleiria.pt,"Rua General Norton de Matos, Apartado 4133, Leiria","2410-191, Leiria
",+351244830010,ipleiria@ipleiria.pt,http://www.ipleiria.pt
